source,type,target,confidence,evidence
crop diversification,located_in,Bangladesh,extracted,working in three districts in northern Bangladesh
TAFSSA,collaborates_with,CSISA,extracted,TAFSSA with the Linkage of CSISA
drought adaptation,targets,small ruminants,inferred,resilient and drought adapted forage cultivars for households keeping small ruminants
Tropical Forages Selection Tool,uses,participatory evaluation,extracted,may be used for selection of cultivars and hybrids
capacity building,located_in,Mali,extracted,"trained on forage production, processing and utilisation"
digital extension,located_in,Vietnam,extracted,training materials are being adapted into a mobile application
silvopastoral systems,uses,best-worst scaling,extracted,farmer preferences assessed through Best-Worst Scaling workshops
silvopastoral systems,uses,payments for ecosystem services,extracted,PES conservation tender approach was implemented
silvopastoral systems,located_in,Northern Laos,extracted,interventions in two districts of Northern Laos
agroecological practices,located_in,Kef-Siliana,extracted,Agroecological Living Landscape in the Transect of Kef Siliana
agroecological practices,collaborates_with,ICARDA,extracted,Cooperation with partners such as ICARDA
scaling champions,part_of,Ukama Ustawi,extracted,developed and tested under Ukama Ustawi's Learning Alliance
institutional learning,uses,scaling champions,extracted,approach centres on Scaling Champions for long term uptake
policy practice index,collaborates_with,ASARECA,extracted,developed with ASARECA for member countries
EncontrAR Platform,targets,smallholder farmers,inferred,designed for Andean family agriculture
disease resistance screening,uses,okra,extracted,evaluating 450 okra accessions for begomovirus resistance
begomovirus,targets,okra,extracted,begomovirus can infect okra causing leaf curl disease
World Vegetable Center,uses,disease resistance screening,extracted,World Vegetable Center finished evaluating accessions
LCAS-APT,targets,smallholder farmers,extracted,focusing on smallholder farming systems
lean data collection,part_of,LCAS-APT,extracted,tools that use a lean data approach
AADGG-Dairy app,targets,smallholder farmers,extracted,enhances data capture for smallholder buffalo farmers
ecosystem services valuation,part_of,APEARD tool,extracted,tool estimates quantities and monetary values of ecosystem services
participatory indicator selection,uses,agroecological practices,extracted,co-develop performance indicators for Agroecology Living Landscapes
yellow jacaranda,targets,banana,extracted,evaluating as potential shade tree for coffee and banana
nano-culture technology,uses,cassava,extracted,technique developed at CIAT for cassava collection
CIAT,uses,nano-culture technology,extracted,technique developed at CIAT
seed certification regulations,located_in,Kenya,extracted,regulations for vegetatively propagated materials for Kenya
scaling fund,uses,business incubation,extracted,Fund supports bridging gap to expansion phase
business incubation,uses,agroecological practices,extracted,programs designed to encourage sustainable agricultural practices
digital twin,located_in,Limpopo River Basin,extracted,developing Digital Twin for Limpopo River Basin
deep learning detection,uses,Tumaini app,extracted,FasterRCNN models replaced by YOLOv8 models
Tumaini app,targets,banana,extracted,app for banana disease detection
circular economy,collaborates_with,SENA,extracted,partnering strategically with SENA
unmanned aerial vehicle surveillance,uses,deep learning detection,extracted,using UAV imagery and deep learning for crop health assessment
banana xanthomonas wilt,targets,banana,extracted,BXW threatens banana production
agroecological practices,collaborates_with,CSHEP,extracted,engagement with implementing partner CSHEP
fusarium wilt,targets,banana,extracted,Fusarium-infected banana plants identified
diet quality assessment,part_of,ReDD index,extracted,ReDD index measures diet deprivation across food groups
rapid diagnostic testing,targets,african swine fever,extracted,rapid lateral flow assays for ASF diagnostic
extension agents,uses,AADGG-Dairy app,extracted,app provides feedback to support livestock extension personnel
veterinarians,uses,rapid diagnostic testing,extracted,penside diagnostics for use by veterinarians
RIICE,uses,satellite remote sensing,extracted,combines radar and optical imagery with crop growth modelling
RIICE,produces,rice,extracted,"produce near real-time information on rice area, planting dates, yields"
IRRI,collaborates_with,Kenya,extracted,IRRI and partners strengthened national capacity through hands-on training in Kenya
milk collection centers,located_in,Uganda,extracted,"Milk Collection Centers (MCC) in Mbarabra, Kirihura, Kazoo, and Ntungamo in Uganda"
WorldFish,located_in,Solomon Islands,extracted,"WorldFish Nusatupe Research Station, situated in Western Province of Solomon Islands"
indigenous food systems,targets,Solomon Islands,extracted,Strengthening Indigenous food systems in Solomon Islands has been a priority
agroforestry,uses,cacao,extracted,support farmers with the installation of cacao agroforestry systems
area-based yield insurance,uses,PRISM,extracted,based on the Philippine Rice Information System (PRISM)
PRISM,uses,satellite remote sensing,extracted,uses time series Synthetic Aperture Radar (SAR)
multi-stakeholder platform,located_in,Lower Kafue Basin,extracted,Lower Kafue Basin Multi-stakeholder platform(MSP) launched
circular bioeconomy,located_in,India,extracted,"set up Circular Bioeconomy Innovation Hubs (CBE-IH) in India, Ghana and Vietnam"
decision support system,targets,Myanmar,extracted,Decision Support Tool for Sustainable Aquaculture Development for key stakeholders
rice-fish polyculture,located_in,Myanmar,extracted,rice-fish decision support system (DSS) for Myanmar
monitoring reporting verification,addresses,Colombia,extracted,"Measuring, Reporting and Verification (MRV) framework for monitoring deforestation emissions from Colombia"
gender equality and social inclusion,targets,smallholder farmers,extracted,empower Aquatic foods smallholders
agroecological practices,located_in,Kenya,extracted,Stakeholders of Kenyan partner organization DNRC
co-production of knowledge,located_in,Colombia,extracted,Working with teams in Colombia and Kenya
fuzzy cognitive mapping,located_in,China,extracted,Fuzzy cognitive mapping study is focused on low carbon food system
systems-based theory of change,located_in,Bangladesh,extracted,"adopted across projects in Bangladesh, Kenya, Nigeria, Tanzania, and Zambia"
spatial production allocation modeling,produces,SPAM,extracted,IFPRI's global cropping system model – Spatial Production Allocation Model (SPAM)
variety adaptation trials,produces,tomato,extracted,"conducting adaptation trials on locally adapted, improved tomato varieties"
variety adaptation trials,produces,sweet pepper,extracted,"conducting adaptation trials on locally adapted, improved sweet pepper varieties"
World Vegetable Center,located_in,Tanzania,extracted,World Vegetable Center through Better Diets and Nutrition
rice,located_in,Mekong River Delta,extracted,Mekong River Delta is undergoing a remarkable digital transformation in the region's rice production
climate-smart agriculture,addresses,smallholder farmers,inferred,climate-resilient vegetable cultivars tackles the lack of quality inputs
mechanized direct seeding,addresses,greenhouse gas emissions,extracted,key innovation for improved productivity and rescued greenhouse gas emissions in rice
Ministry of Agriculture and Rural Development,collaborates_with,IRRI,extracted,seven pilot models have been carried out in conjunction with IRRI and private partners
stage-gate framework,targets,CGIAR,extracted,CGIAR centers developed a comprehensive stage-gate framework
genome editing,uses,stage-gate framework,extracted,framework that establishes common decision-making processes for genome editing initiatives
reservoir forecasting,uses,Digital Earth Africa,extracted,water bodies areas from Digital Earth Africa in monthly basis
APFORGEN,collaborates_with,CGIAR,inferred,regional strategy informed by CGIAR research
managed aquifer recharge,located_in,Ganges Basin,extracted,UTFI has been piloted in the Ganges Basin
prime editing,targets,potato virus Y,extracted,prime editing constructs that target specific genes to create virus-resistant potato varieties
International Potato Center,uses,prime editing,extracted,International Potato Center developed prime editing constructs
Brachiaria,addresses,soil erosion,extracted,offer additional environmental benefits like controlling soil erosion
crop-livestock integration,targets,smallholder farmers,extracted,strengthening crop livestock integration for smallholder farmers in Malawi
quantitative trait locus mapping,produces,grain zinc enhancement,extracted,qZn5 indeed does produce about 4ppm increase in grain zinc
rice yellow mottle virus,located_in,Africa,extracted,major disease limiting rice productivity across Africa and Madagascar
energy insecurity measurement,targets,rural households,extracted,measure how much energy shortage rural households face
IFPRI,produces,Rural Energy Insecurity Experiences Scale,inferred,Measurement tool developed by IFPRI
open data cube architecture,located_in,Limpopo River Basin,extracted,initially developed for the Limpopo River Basin
IWMI,produces,open data cube architecture,extracted,IWMI's Digital Innovation team created this data repository system
ISAT Climate Information Services,targets,smallholder farmers,extracted,most commonly used source of weather information among farmers
ICRISAT,produces,MSOIL,extracted,Digital Innovation team at ICRISAT developed MSOIL
digital soil mapping,part_of,MSOIL,extracted,"integrating digital tools for data sourcing, and digital soil mapping"
Simcast,addresses,late blight,extracted,decision support system for late blight management
integrated pest management,targets,fall armyworm,extracted,IPM approach using pheromone traps and insecticides to manage FAW
fall armyworm,targets,maize,extracted,threatens irrigated summer maize production
rapid multiplication technology,produces,clean cassava plants,extracted,"produced 98,157 clean cassava plants using rapid multiplication tunnel technology"
CIAT,collaborates_with,national research institutes,extracted,"technology developed by CIAT, working with NAFRI, CARDI and GDA"
multi-criteria analysis,part_of,SWEET,extracted,SWEET DST is an operational policy decision-support tool with structured multi-criteria analysis design
biogas digester technology,addresses,greenhouse gas emissions,extracted,GHG emissions reduction from the management of livestock manure using biogas digester technology
glycemic index modification,addresses,diabetes,extracted,rice varieties that are inherently diabetic-friendly
direct seeded rice breeding,targets,drought-prone environments,extracted,challenges growing rice in diverse environments including drought-prone uplands
IRRI,uses,direct seeded rice breeding,extracted,IRRI expanded its direct seeded rice breeding network
EcoFarm App,uses,artificial intelligence,extracted,"Leveraging AI-powered analytics, the app evaluates input resources"
digital advisory services,targets,smallholder farmers,inferred,platforms designed to empower farmers with advanced tools
Rice Crop Manager Advisory Service,uses,human-centered design,extracted,continued the human-centered design (HCD) process to strengthen and scale
Philippine Rice Research Institute,collaborates_with,International Rice Research Institute,extracted,Philippine Rice Research Institute and the International Rice Research Institute convened
Layanan Konsultasi Padi,produces,field-specific nutrient management,extracted,field-specific rice fertilizer advice using the Layanan Konsultasi Padi 2.0
extension workers,uses,Layanan Konsultasi Padi,extracted,received field-specific recommendations via extension workers
Ministry of Agriculture,located_in,Indonesia,extracted,Indonesia's Ministry of Agriculture strengthened the use
pro-WEAI,addresses,women's empowerment,extracted,project level Women's Empowerment in Agriculture Index
AgWISE,addresses,water management,extracted,evaluate productive water insecurity in agriculture
agroecological transition,uses,multistakeholder partnerships,extracted,multistakeholder partnerships as a means to transform existing food systems
agroecological transition,targets,youth,extracted,"include youth in agroecological transitions, recognizing their role"
rice,located_in,Indonesia,extracted,rice farmers in Indonesia use field-specific fertilizer advice
field-specific nutrient management,produces,yield improvement,extracted,yields increased by about 600 kilograms per hectare
climate services,uses,participatory research,extracted,Participatory Integrated Climate Services for Agriculture (PICSA) methodology
climate services,located_in,Guatemala,extracted,last-mile climate services in Guatemala
organic farming,addresses,moniliasis,extracted,organic inputs for controlling diseases such as moniliasis
cacao,located_in,Peru,extracted,"organic cacao producer cooperatives in Ucayali, Peru"
precision agriculture,uses,artificial intelligence,inferred,"drone photogrammetry to provide precise, timely, and actionable data"
maize,located_in,Guatemala,extracted,focusing on maize due to its prevalence in the region
integrated pest management,produces,yield improvement,extracted,maize grain yield significantly increased under manure
Makueni,located_in,Kenya,extracted,"agroecological practices in Makueni, Kenya"
Mekong Farm App,located_in,Cambodia,extracted,Mekong Farm App for fish farmers in Cambodia
aquaculture,addresses,food security,extracted,contributing to local food security by providing more fish
CIMMYT,collaborates_with,Ingredion Mexico,extracted,Ingredion Mexico and CIMMYT have partnered
artificial intelligence,uses,Farm Radio International,extracted,Farm Radio International uses AI-powered automatic speech recognition
PigSmart,targets,smallholder farmers,extracted,delivers extension messages to pig farmers
PigSmart,located_in,Uganda,extracted,Pig Smart extension platform in Uganda
AADGG platform,uses,genetic improvement,extracted,"innovative application of breeding, including genomic technologies"
business incubation,targets,agripreneurs,extracted,agripreneur business incubation/acceleration program
participatory rangeland management,produces,rangeland restoration,extracted,"participatory rangeland management and rangeland restoration across 91,390 hectares"
land tenure security,produces,rangeland restoration,extracted,Land tenure security had incentivized communities to improve livestock production
IRRI,collaborates_with,National Seed Research and Training Centre,extracted,IRRI partnered with India's National Seed Research and Training Centre
seed delivery network,targets,smallholder farmers,inferred,enable faster distribution of new rice varieties
integrated water storage assessment,located_in,Tana-Beles Sub-basin,extracted,assessed water storage in the Tana-Beles sub-basin of Ethiopia
hydrological modeling,addresses,water-energy-food-environment nexus,extracted,hydro-economic modeling approaches that address uncertainty
IWMI,uses,hydrological modeling,extracted,IWMI delivered training on hydrological modeling
conservation agriculture,uses,mechanization service provider model,extracted,Conservation agriculture based mechanization
mechanization service providers,uses,two-wheel tractor,extracted,SPs were provided with starter pack machinery consisting of a two-wheel tractor
two-wheel tractor,uses,maize sheller,extracted,two-wheel tractor operated equipment
climate-smart agriculture,uses,no-till planting,extracted,mechanized no-till planter for climate-smart agriculture
co-design,targets,smallholder farmers,extracted,empowers refugees and host communities
nature-based solutions,addresses,climate change,extracted,nature-based solutions for addressing natural disasters
integrated rice-fish systems,uses,agroecology,extracted,agroecology could accelerate an IRFS-based transition
rice,part_of,integrated rice-fish systems,extracted,Integrated Rice Fish Systems
fish,part_of,integrated rice-fish systems,extracted,Integrated Rice Fish Systems
IFPRI,uses,computable general equilibrium modeling,extracted,IFPRI organized training on CGE modeling
rainfall forecasting,produces,conservation agriculture,extracted,rainfall forecasts increased probability of adopting conservation agriculture
meta-analysis,addresses,climate-smart agriculture,extracted,meta-analysis to assess impacts of CSA practices
participatory rangeland management,located_in,Baringo County,extracted,"participatory rangeland management in Baringo county, Kenya"
participatory rangeland management,located_in,Wajir County,extracted,established participatory rangeland management in Wajir county
mechanization service provider model,located_in,Zambia,extracted,Service provider model for mechanization in Zambia
co-design,located_in,Dolo Ado,extracted,co-developed interventions in Dolo Ado districts
integrated rice-fish systems,located_in,Eastern India,extracted,IRFS adoption in Eastern India
climate-smart agriculture,located_in,Sub-Saharan Africa,extracted,impacts of CSA in sub-Saharan Africa
circular bioeconomy,addresses,climate change,extracted,provides a critical solution to climate change and resource scarcity
climate finance,uses,carbon credits,extracted,leverage mechanisms such as carbon credits and international climate funds
Kenya,addresses,double burden of malnutrition,extracted,"Kenya is now facing new nutrition challenges, including overweight and obesity"
Ghana,addresses,double burden of malnutrition,extracted,The country is facing an emerging double burden of malnutrition
ultra-processed foods,produces,overweight and obesity,extracted,rise in consumption of poor-quality diets and ultra-processed foods contributing to alarming increases in overweight and obesity
food rescue,addresses,food security,extracted,women brigades recover surplus food from farms and markets to supply community kitchens
International Potato Center,collaborates_with,International Rice Research Institute,extracted,International Potato Center and International Rice Research Institute delivered comprehensive training
urban farming,located_in,Quezon City,extracted,Urban farmers in densely populated Quezon City face significant challenges
IITA,collaborates_with,CIMMYT,extracted,"IITA and CIMMYT, through the Breeding for Tomorrow initiative, organized a specialized training workshop"
market-responsive breeding,targets,banana,extracted,market-responsive banana breeding by enabling stakeholders to define clear product requirements
banana,addresses,food security,extracted,"banana production in Burundi, where the crop is essential for food security"
ISABU,located_in,Burundi,extracted,Institut des Sciences Agronomiques du Burundi (ISABU) banana breeding program
Metrics Library,targets,policymakers,extracted,aimed at a wide range of users from policymakers and donors to development actors
gender-responsive livestock breeding,targets,smallholder farmers,extracted,livestock breeders working in low- and middle-income countries to improve livelihoods
Alliance of Bioversity and CIAT,collaborates_with,KALRO,extracted,Alliance of Bioversity and CIAT conducted a comprehensive evaluation of KALRO bean breeding program
beans,addresses,food security,extracted,beans are a critical food security crop
ecosystem restoration,located_in,Bundelkhand,extracted,landscape restoration initiative focused on dryland management in Central India's Bundelkhand region
haveli system,produces,groundwater recharge,extracted,restored havelis not only enhanced groundwater recharge but also strengthened ecosystem services
sustainable livestock practices,located_in,Olancho,extracted,"adopción de prácticas ganaderas sostenibles en Olancho, Honduras"
power probe method,addresses,soil bulk density measurement,extracted,evaluates the effectiveness of the power probe method compared to the traditional core metal ring method
Colombia,uses,power probe method,extracted,measuring BD in acidic soils (Oxisols and Ultisols) in Colombia
maize,located_in,Laos,extracted,Women's participation in the forage and dual-purpose maize seed market in Laos
PRRS virus,targets,smallholder farmers,extracted,Porcine reproductive and respiratory syndrome virus transmission among smallholder pig farms
biosecurity measures,addresses,PRRS virus,extracted,evaluated its control under strategies targeting closure of biosecurity gaps
Uganda,uses,biosecurity measures,extracted,Biosecurity measures were found to be low among pig farms in the region
Enterococcus,related_to,antimicrobial resistance,extracted,commensal bacteria with increasing clinical relevance due to their role in antimicrobial resistance
Carob,uses,data standardization,extracted,created controlled vocabularies and software to support standardization and compliance checking
sustainable livestock practices,located_in,Vietnam,extracted,model to promote the adoption of improved feeds and forages innovations for sustainable livestock production in Vietnam
digital twin,located_in,Ethiopia,extracted,Digital Twin of the Dolo Ado district in Somali Region of Ethiopia
spatial analytics,targets,policymakers,extracted,equip policymakers and partners with advanced and accessible spatial analytical tools
humanitarian-development nexus,located_in,Sudan,extracted,scientific research is being integrated into humanitarian efforts in Sudan through the BRIDGE project
Alliance of Bioversity and CIAT,uses,participatory product design,extracted,organized training meeting to equip participants with skills to identify market segments and prioritize traits
participatory product design,targets,value chain stakeholders,extracted,training for Rwanda's bean value-chain stakeholders
International Potato Center,uses,machine learning modeling,extracted,participants developed machine learning models and geospatial analysis tools
machine learning modeling,addresses,ecosystem restoration,extracted,create digital tools for ecosystem restoration in high-Andean regions
RoBERTa,uses,named entity recognition,extracted,AI model based on RoBERTa performed Named Entity Recognition and classification tasks
policy analysis,uses,named entity recognition,extracted,support researchers in identifying and analyzing policy demands
multifunctional landscapes,located_in,Mbire District,extracted,"training workshop conducted in Mbire District, Zimbabwe"
food system transformation,located_in,Vietnam,extracted,National Action Plan on Food Systems Transformation in Vietnam
metabolomic profiling,targets,cassava,extracted,"analyzing food quality attributes in cassava, potato, sweet potato, and banana"
metabolomic profiling,targets,potato,extracted,"analyzing food quality attributes in cassava, potato, sweet potato, and banana"
metabolomic profiling,targets,sweet potato,extracted,"analyzing food quality attributes in cassava, potato, sweet potato, and banana"
metabolomic profiling,targets,banana,extracted,"analyzing food quality attributes in cassava, potato, sweet potato, and banana"
stochastic frontier analysis,targets,smallholder farmers,extracted,study assessed technical efficiency of smallholder farmers in Rwanda
smallholder farmers,located_in,Rwanda,extracted,smallholder farmers in Rwanda face production challenges
quantitative trait locus mapping,targets,wheat blast,extracted,QTL mapping identified resistance to wheat blast
Aegilops tauschii,produces,disease resistance breeding,extracted,resistant Aegilops tauschii line used as male parent
wheat blast,located_in,Bolivia,extracted,field phenotyping conducted at two locations in Bolivia
wheat blast,located_in,Bangladesh,extracted,field phenotyping conducted in Bangladesh
machine learning modeling,uses,early warning systems,extracted,machine learning models for forecasting acute child malnutrition for early warning
aquaculture development,targets,tilapia,extracted,provided training and inputs for tilapia fish culture
aquaculture development,located_in,North-East Region,extracted,aquaculture pilot in North-East region of Ghana
sustainable land management,located_in,Ethiopia,extracted,HER+ Sustainable Land Management Trial in Ethiopia
randomized controlled trial,uses,sustainable land management,extracted,randomized controlled trial evaluating bundled intervention for SLM practices
dietary diversity assessment,located_in,Gedeo Zone,extracted,study examined maternal dietary diversity in rural Gedeo zone
food security monitoring,addresses,food system transformation,inferred,monitoring food insecurity to inform transformation efforts
spatial clustering,uses,geospatial analysis,extracted,spatial K-means clustering method for policy planning
capacity building,targets,smallholder farmers,inferred,training and skill development for agricultural stakeholders
gender mainstreaming,addresses,gender inequality,extracted,advancing gender mainstreaming in the MENA region
theatre of the oppressed,addresses,harmful gender norms,extracted,"action research to address harmful norms around women's inheritance, mobility, sexual harassment"
Morocco,located_in,MENA region,extracted,showcased in two Moroccan regions
climate governance,targets,smallholder farmers,inferred,women's participation in climate change governance in agrifood sector
agricultural distortions,produces,international migration,extracted,agricultural distortions in shaping emigration patterns
Guatemala,uses,agricultural distortions,extracted,using Guatemala as a case study
Sudan,addresses,food insecurity,extracted,conflict has severely hindered agricultural activities
digital transfers,targets,internally displaced persons,extracted,beneficiaries in Sudan prefer digital transfers
Sudanese Armed Forces,located_in,Sudan,extracted,conflict between SAF and RSF
ultra-poor graduation model,uses,cash transfers,extracted,"combination of cash transfers, savings groups, productive asset training"
World Vision Somalia,located_in,Baidoa,extracted,"implemented in IDP camps in Baidoa, Somalia"
randomized controlled trial,uses,ultra-poor graduation model,extracted,randomized impact evaluation of the UPG Model
Nigeria,addresses,violent conflict,extracted,conflicts and agricultural investments in Nigeria
IFPRI,collaborates_with,USAID,extracted,established with funding from USAID
multidimensional resilience,uses,Ethiopia,extracted,applying these to household panel data from Ethiopia
vickrey auction,targets,sweetpotato,extracted,experimental Vickrey auction for sweetpotato vines in Rwanda
Rwanda,uses,vickrey auction,extracted,auction conducted in Rwanda
seed systems,uses,gender-transformative approach,extracted,gender transformative approach applied to seed sector development
varietal adoption,targets,smallholder farmers,extracted,varietal turnover among smallholder farmers is slow
maize,uses,drought tolerance,extracted,drought-tolerant maize varieties
Kenya,uses,drought tolerance,extracted,drought-tolerant maize in Kenya
vegetative propagation,part_of,cassava,extracted,vegetatively propagated crops such as cassava
phytosanitary regulation,addresses,seed systems,extracted,policy and regulation in seed sector development
CIMMYT,collaborates_with,IFPRI,extracted,partnerships with CIMMYT
technology adoption,targets,smallholder farmer,extracted,semi-subsistence farmers typically assume dual roles as both consumers and producers
seed certification,produces,certified seeds,extracted,certified seeds production in countries like Nigeria
